record_id,Date and time,Temperature,Description
1,2017-11-01 00:00:00,276.15,broken clouds
2,2017-11-01 01:00:00,275.7,scattered clouds
3,2017-11-01 02:00:00,275.61,overcast clouds
4,2017-11-01 03:00:00,275.35,broken clouds
5,2017-11-01 04:00:00,275.24,broken clouds
6,2017-11-01 05:00:00,275.05,overcast clouds
7,2017-11-01 06:00:00,275.14,overcast clouds
8,2017-11-01 07:00:00,275.23,overcast clouds
9,2017-11-01 08:00:00,275.23,overcast clouds
10,2017-11-01 09:00:00,275.32,overcast clouds
11,2017-11-01 10:00:00,275.23,overcast clouds
12,2017-11-01 11:00:00,275.51,overcast clouds
13,2017-11-01 12:00:00,275.69,overcast clouds
14,2017-11-01 13:00:00,275.79,overcast clouds
15,2017-11-01 14:00:00,275.85,broken clouds
16,2017-11-01 15:00:00,276.6,broken clouds
17,2017-11-01 16:00:00,277.54,sky is clear
18,2017-11-01 17:00:00,278.32,overcast clouds
19,2017-11-01 18:00:00,279.35,overcast clouds
20,2017-11-01 19:00:00,279.52,overcast clouds
21,2017-11-01 20:00:00,279.7,overcast clouds
22,2017-11-01 21:00:00,279.34,mist
23,2017-11-01 22:00:00,278.93,mist
24,2017-11-01 23:00:00,278.51,mist
25,2017-11-02 00:00:00,278.32,mist
26,2017-11-02 01:00:00,278.42,mist
27,2017-11-02 02:00:00,278.85,drizzle
28,2017-11-02 03:00:00,279.06,light rain
29,2017-11-02 04:00:00,279.55,light rain
30,2017-11-02 05:00:00,279.75,light rain
31,2017-11-02 06:00:00,280.35,light rain
32,2017-11-02 07:00:00,280.6,moderate rain
33,2017-11-02 08:00:00,280.84,fog
34,2017-11-02 09:00:00,281.13,fog
35,2017-11-02 10:00:00,281.34,fog
36,2017-11-02 11:00:00,281.54,fog
37,2017-11-02 12:00:00,281.44,light rain
38,2017-11-02 13:00:00,281.94,fog
39,2017-11-02 14:00:00,281.92,fog
40,2017-11-02 15:00:00,282.34,light intensity drizzle
41,2017-11-02 16:00:00,282.54,light intensity drizzle
42,2017-11-02 17:00:00,283.33,mist
43,2017-11-02 18:00:00,283.63,mist
44,2017-11-02 19:00:00,283.54,light intensity drizzle
45,2017-11-02 20:00:00,283.25,moderate rain
46,2017-11-02 21:00:00,282.94,light rain
47,2017-11-02 22:00:00,283.04,drizzle
48,2017-11-02 23:00:00,282.84,drizzle
49,2017-11-03 00:00:00,282.68,moderate rain
50,2017-11-03 01:00:00,282.41,mist
51,2017-11-03 02:00:00,282.03,mist
52,2017-11-03 03:00:00,282.04,mist
53,2017-11-03 04:00:00,282.04,mist
54,2017-11-03 05:00:00,281.65,mist
55,2017-11-03 06:00:00,281.14,mist
56,2017-11-03 07:00:00,280.96,mist
57,2017-11-03 08:00:00,280.59,mist
58,2017-11-03 09:00:00,279.96,mist
59,2017-11-03 10:00:00,278.85,mist
60,2017-11-03 11:00:00,278.22,overcast clouds
61,2017-11-03 12:00:00,277.68,overcast clouds
62,2017-11-03 13:00:00,277.32,overcast clouds
63,2017-11-03 14:00:00,277.68,mist
64,2017-11-03 15:00:00,278.32,overcast clouds
65,2017-11-03 16:00:00,279.12,overcast clouds
66,2017-11-03 17:00:00,279.71,overcast clouds
67,2017-11-03 18:00:00,280.86,overcast clouds
68,2017-11-03 19:00:00,281.3,overcast clouds
69,2017-11-03 20:00:00,281.78,overcast clouds
70,2017-11-03 21:00:00,282.14,broken clouds
71,2017-11-03 22:00:00,281.64,broken clouds
72,2017-11-03 23:00:00,281.04,broken clouds
73,2017-11-04 00:00:00,280.69,broken clouds
74,2017-11-04 01:00:00,279.95,broken clouds
75,2017-11-04 02:00:00,280.04,scattered clouds
76,2017-11-04 03:00:00,279.67,few clouds
77,2017-11-04 04:00:00,279.68,sky is clear
78,2017-11-04 05:00:00,279.59,sky is clear
79,2017-11-04 06:00:00,279.41,sky is clear
80,2017-11-04 07:00:00,279.06,sky is clear
81,2017-11-04 08:00:00,278.88,sky is clear
82,2017-11-04 09:00:00,279.34,sky is clear
83,2017-11-04 10:00:00,279.86,sky is clear
84,2017-11-04 11:00:00,280.16,broken clouds
85,2017-11-04 12:00:00,280.15,mist
86,2017-11-04 13:00:00,279.75,mist
87,2017-11-04 14:00:00,279.85,light intensity drizzle
88,2017-11-04 15:00:00,279.75,mist
89,2017-11-04 16:00:00,279.78,thunderstorm with drizzle
90,2017-11-04 17:00:00,280.45,proximity thunderstorm
91,2017-11-04 18:00:00,280.69,light rain
92,2017-11-04 19:00:00,280.79,mist
93,2017-11-04 20:00:00,281.15,mist
94,2017-11-04 21:00:00,281.15,mist
95,2017-11-04 22:00:00,281.6,mist
96,2017-11-04 23:00:00,281.87,fog
97,2017-11-05 00:00:00,282.14,mist
98,2017-11-05 01:00:00,282.24,moderate rain
99,2017-11-05 02:00:00,282.77,fog
100,2017-11-05 03:00:00,283.23,fog
101,2017-11-05 04:00:00,283.25,light rain
102,2017-11-05 05:00:00,283.42,moderate rain
103,2017-11-05 06:00:00,283.23,fog
104,2017-11-05 07:00:00,283.33,fog
105,2017-11-05 08:00:00,283.24,light intensity drizzle
106,2017-11-05 09:00:00,283.25,fog
107,2017-11-05 10:00:00,283.15,fog
108,2017-11-05 11:00:00,283.14,fog
109,2017-11-05 12:00:00,283.14,fog
110,2017-11-05 13:00:00,283.04,drizzle
111,2017-11-05 14:00:00,283.05,moderate rain
112,2017-11-05 15:00:00,283.49,fog
113,2017-11-05 16:00:00,283.51,proximity thunderstorm
114,2017-11-05 17:00:00,283.44,light intensity drizzle
115,2017-11-05 18:00:00,283.88,proximity thunderstorm with rain
116,2017-11-05 19:00:00,283.44,proximity thunderstorm
117,2017-11-05 20:00:00,284.05,light rain
118,2017-11-05 21:00:00,283.88,mist
119,2017-11-05 22:00:00,283.78,mist
120,2017-11-05 23:00:00,283.75,overcast clouds
121,2017-11-06 00:00:00,283.51,overcast clouds
122,2017-11-06 01:00:00,283.15,overcast clouds
123,2017-11-06 02:00:00,283.15,overcast clouds
124,2017-11-06 03:00:00,282.79,overcast clouds
125,2017-11-06 04:00:00,282.6,overcast clouds
126,2017-11-06 05:00:00,281.78,overcast clouds
127,2017-11-06 06:00:00,280.96,overcast clouds
128,2017-11-06 07:00:00,279.51,overcast clouds
129,2017-11-06 08:00:00,277.62,overcast clouds
130,2017-11-06 09:00:00,277.23,broken clouds
131,2017-11-06 10:00:00,276.14,overcast clouds
132,2017-11-06 11:00:00,275.11,broken clouds
133,2017-11-06 12:00:00,274.67,overcast clouds
134,2017-11-06 13:00:00,273.91,overcast clouds
135,2017-11-06 14:00:00,273.51,broken clouds
136,2017-11-06 15:00:00,274.91,broken clouds
137,2017-11-06 16:00:00,276.01,broken clouds
138,2017-11-06 17:00:00,277.76,broken clouds
139,2017-11-06 18:00:00,278.32,broken clouds
140,2017-11-06 19:00:00,278.32,broken clouds
141,2017-11-06 20:00:00,278.33,broken clouds
142,2017-11-06 21:00:00,278.14,sky is clear
143,2017-11-06 22:00:00,278.82,broken clouds
144,2017-11-06 23:00:00,277.7,broken clouds
145,2017-11-07 00:00:00,277.15,scattered clouds
146,2017-11-07 01:00:00,277.05,broken clouds
147,2017-11-07 02:00:00,277.24,overcast clouds
148,2017-11-07 03:00:00,277.24,overcast clouds
149,2017-11-07 04:00:00,277.63,broken clouds
150,2017-11-07 05:00:00,277.49,overcast clouds
151,2017-11-07 06:00:00,277.4,overcast clouds
152,2017-11-07 07:00:00,277.49,broken clouds
153,2017-11-07 08:00:00,277.21,overcast clouds
154,2017-11-07 09:00:00,277.04,scattered clouds
155,2017-11-07 10:00:00,276.04,broken clouds
156,2017-11-07 11:00:00,275.63,overcast clouds
157,2017-11-07 12:00:00,275.33,overcast clouds
158,2017-11-07 13:00:00,275.33,overcast clouds
159,2017-11-07 14:00:00,276.49,overcast clouds
160,2017-11-07 15:00:00,277.75,broken clouds
161,2017-11-07 16:00:00,279.59,overcast clouds
162,2017-11-07 17:00:00,280.05,broken clouds
163,2017-11-07 18:00:00,280.54,broken clouds
164,2017-11-07 19:00:00,280.24,broken clouds
165,2017-11-07 20:00:00,280.34,scattered clouds
166,2017-11-07 21:00:00,280.35,overcast clouds
167,2017-11-07 22:00:00,279.93,overcast clouds
168,2017-11-07 23:00:00,279.24,light rain
169,2017-11-08 00:00:00,277.94,light rain
170,2017-11-08 01:00:00,277.41,overcast clouds
171,2017-11-08 02:00:00,275.95,broken clouds
172,2017-11-08 03:00:00,275.28,broken clouds
173,2017-11-08 04:00:00,274.55,scattered clouds
174,2017-11-08 05:00:00,273.23,sky is clear
175,2017-11-08 06:00:00,272.93,sky is clear
176,2017-11-08 07:00:00,272.49,sky is clear
177,2017-11-08 08:00:00,272.12,sky is clear
178,2017-11-08 09:00:00,271.67,sky is clear
179,2017-11-08 10:00:00,271.4,sky is clear
180,2017-11-08 11:00:00,270.84,mist
181,2017-11-08 12:00:00,271.25,mist
182,2017-11-08 13:00:00,270.31,mist
183,2017-11-08 14:00:00,270.93,mist
184,2017-11-08 15:00:00,273.76,mist
185,2017-11-08 16:00:00,276.41,sky is clear
186,2017-11-08 17:00:00,278.05,sky is clear
187,2017-11-08 18:00:00,279.44,sky is clear
188,2017-11-08 19:00:00,280.25,sky is clear
189,2017-11-08 20:00:00,280.94,sky is clear
190,2017-11-08 21:00:00,280.92,sky is clear
191,2017-11-08 22:00:00,280.7,sky is clear
192,2017-11-08 23:00:00,280.26,few clouds
193,2017-11-09 00:00:00,278.16,sky is clear
194,2017-11-09 01:00:00,276.34,sky is clear
195,2017-11-09 02:00:00,275.34,sky is clear
196,2017-11-09 03:00:00,274.15,sky is clear
197,2017-11-09 04:00:00,273.06,mist
198,2017-11-09 05:00:00,273.07,sky is clear
199,2017-11-09 06:00:00,272.61,sky is clear
200,2017-11-09 07:00:00,272.98,mist
201,2017-11-09 08:00:00,273.345,sky is clear
202,2017-11-09 09:00:00,273.79,sky is clear
203,2017-11-09 10:00:00,274.25,sky is clear
204,2017-11-09 11:00:00,274.86,sky is clear
205,2017-11-09 12:00:00,275.43,overcast clouds
206,2017-11-09 13:00:00,276.55,broken clouds
207,2017-11-09 14:00:00,276.95,overcast clouds
208,2017-11-09 15:00:00,277.59,overcast clouds
209,2017-11-09 16:00:00,278.59,broken clouds
210,2017-11-09 17:00:00,280.54,few clouds
211,2017-11-09 18:00:00,280.55,broken clouds
212,2017-11-09 19:00:00,280.16,overcast clouds
213,2017-11-09 20:00:00,279.54,scattered clouds
214,2017-11-09 21:00:00,279.35,few clouds
215,2017-11-09 22:00:00,277.33,few clouds
216,2017-11-09 23:00:00,276.43,scattered clouds
217,2017-11-10 00:00:00,274.13,sky is clear
218,2017-11-10 01:00:00,273.5,few clouds
219,2017-11-10 02:00:00,272.41,few clouds
220,2017-11-10 03:00:00,271.04,few clouds
221,2017-11-10 04:00:00,269.33,sky is clear
222,2017-11-10 05:00:00,268.59,sky is clear
223,2017-11-10 06:00:00,267.96,overcast clouds
224,2017-11-10 07:00:00,267.22,overcast clouds
225,2017-11-10 08:00:00,267.22,overcast clouds
226,2017-11-10 09:00:00,266.55,overcast clouds
227,2017-11-10 10:00:00,266.25,light snow
228,2017-11-10 11:00:00,266.59,light snow
229,2017-11-10 12:00:00,265.84,light snow
230,2017-11-10 13:00:00,265.74,light snow
231,2017-11-10 14:00:00,266.24,light snow
232,2017-11-10 15:00:00,267.41,light snow
233,2017-11-10 16:00:00,268.59,mist
234,2017-11-10 17:00:00,270.06,light intensity drizzle
235,2017-11-10 18:00:00,270.78,mist
236,2017-11-10 19:00:00,271.51,mist
237,2017-11-10 20:00:00,272.05,mist
238,2017-11-10 21:00:00,272.34,light snow
239,2017-11-10 22:00:00,272.41,scattered clouds
240,2017-11-10 23:00:00,271.96,overcast clouds
241,2017-11-11 00:00:00,270.74,sky is clear
242,2017-11-11 01:00:00,270.94,broken clouds
243,2017-11-11 02:00:00,270.6,broken clouds
244,2017-11-11 03:00:00,270.42,broken clouds
245,2017-11-11 04:00:00,270.15,broken clouds
246,2017-11-11 05:00:00,269.87,sky is clear
247,2017-11-11 06:00:00,269.55,sky is clear
248,2017-11-11 07:00:00,269.69,sky is clear
249,2017-11-11 08:00:00,269.735,sky is clear
250,2017-11-11 09:00:00,269.79,sky is clear
251,2017-11-11 10:00:00,269.88,scattered clouds
252,2017-11-11 11:00:00,269.65,broken clouds
253,2017-11-11 12:00:00,269.86,sky is clear
254,2017-11-11 13:00:00,269.86,scattered clouds
255,2017-11-11 14:00:00,270.45,overcast clouds
256,2017-11-11 15:00:00,270.6,overcast clouds
257,2017-11-11 16:00:00,271.15,overcast clouds
258,2017-11-11 17:00:00,272.14,overcast clouds
259,2017-11-11 18:00:00,273.13,overcast clouds
260,2017-11-11 19:00:00,273.53,overcast clouds
261,2017-11-11 20:00:00,274.5,overcast clouds
262,2017-11-11 21:00:00,275.23,overcast clouds
263,2017-11-11 22:00:00,275.24,overcast clouds
264,2017-11-11 23:00:00,275.41,overcast clouds
265,2017-11-12 00:00:00,275.42,overcast clouds
266,2017-11-12 01:00:00,275.59,overcast clouds
267,2017-11-12 02:00:00,275.65,overcast clouds
268,2017-11-12 03:00:00,275.74,overcast clouds
269,2017-11-12 04:00:00,275.96,overcast clouds
270,2017-11-12 05:00:00,275.96,overcast clouds
271,2017-11-12 06:00:00,275.86,drizzle
272,2017-11-12 07:00:00,275.87,light rain
273,2017-11-12 08:00:00,275.65,light rain
274,2017-11-12 09:00:00,275.69,light rain
275,2017-11-12 10:00:00,275.55,mist
276,2017-11-12 11:00:00,275.42,mist
277,2017-11-12 12:00:00,275.5,mist
278,2017-11-12 13:00:00,275.55,light rain
279,2017-11-12 14:00:00,275.69,light rain
280,2017-11-12 15:00:00,276.14,mist
281,2017-11-12 16:00:00,276.44,mist
282,2017-11-12 17:00:00,277.14,light intensity drizzle
283,2017-11-12 18:00:00,276.85,light snow
284,2017-11-12 19:00:00,276.75,mist
285,2017-11-12 20:00:00,276.7,mist
286,2017-11-12 21:00:00,276.42,drizzle
287,2017-11-12 22:00:00,276.6,drizzle
288,2017-11-12 23:00:00,276.51,light rain
289,2017-11-13 00:00:00,276.33,light rain
290,2017-11-13 01:00:00,276.15,mist
291,2017-11-13 02:00:00,276.15,mist
292,2017-11-13 03:00:00,276.06,mist
293,2017-11-13 04:00:00,275.96,mist
294,2017-11-13 05:00:00,275.97,mist
295,2017-11-13 06:00:00,275.96,mist
296,2017-11-13 07:00:00,276.05,mist
297,2017-11-13 08:00:00,275.66,mist
298,2017-11-13 09:00:00,275.06,mist
299,2017-11-13 10:00:00,273.89,mist
300,2017-11-13 11:00:00,273.07,fog
301,2017-11-13 12:00:00,273.16,fog
302,2017-11-13 13:00:00,272.06,fog
303,2017-11-13 14:00:00,272.42,fog
304,2017-11-13 15:00:00,274.42,haze
305,2017-11-13 16:00:00,275.76,haze
306,2017-11-13 17:00:00,277.4,mist
307,2017-11-13 18:00:00,277.77,mist
308,2017-11-13 19:00:00,278.04,mist
309,2017-11-13 20:00:00,278.04,mist
310,2017-11-13 21:00:00,277.95,mist
311,2017-11-13 22:00:00,277.77,mist
312,2017-11-13 23:00:00,277.43,mist
313,2017-11-14 00:00:00,276.75,haze
314,2017-11-14 01:00:00,275.96,haze
315,2017-11-14 02:00:00,275.75,mist
316,2017-11-14 03:00:00,275.69,mist
317,2017-11-14 04:00:00,275.33,mist
318,2017-11-14 05:00:00,274.42,mist
319,2017-11-14 06:00:00,273.78,mist
320,2017-11-14 07:00:00,273.24,mist
321,2017-11-14 08:00:00,272.75,mist
322,2017-11-14 09:00:00,272.69,fog
323,2017-11-14 10:00:00,272.24,fog
324,2017-11-14 11:00:00,272.23,fog
325,2017-11-14 12:00:00,272.15,fog
326,2017-11-14 13:00:00,272.32,mist
327,2017-11-14 14:00:00,273.45,mist
328,2017-11-14 15:00:00,275.85,mist
329,2017-11-14 16:00:00,277.23,mist
330,2017-11-14 17:00:00,280.14,haze
331,2017-11-14 18:00:00,281.14,haze
332,2017-11-14 19:00:00,281.32,haze
333,2017-11-14 20:00:00,281.93,haze
334,2017-11-14 21:00:00,282.14,haze
335,2017-11-14 22:00:00,282.23,haze
336,2017-11-14 23:00:00,282.15,haze
337,2017-11-15 00:00:00,281.79,overcast clouds
338,2017-11-15 01:00:00,281.79,overcast clouds
339,2017-11-15 02:00:00,281.79,overcast clouds
340,2017-11-15 03:00:00,281.69,overcast clouds
341,2017-11-15 04:00:00,281.69,overcast clouds
342,2017-11-15 05:00:00,281.79,overcast clouds
343,2017-11-15 06:00:00,281.88,overcast clouds
344,2017-11-15 07:00:00,281.76,overcast clouds
345,2017-11-15 08:00:00,281.688,overcast clouds
346,2017-11-15 09:00:00,281.6,light rain
347,2017-11-15 10:00:00,281.14,moderate rain
348,2017-11-15 11:00:00,280.71,mist
349,2017-11-15 12:00:00,280.43,mist
350,2017-11-15 13:00:00,280.07,mist
351,2017-11-15 14:00:00,279.88,drizzle
352,2017-11-15 15:00:00,279.95,mist
353,2017-11-15 16:00:00,280.15,mist
354,2017-11-15 17:00:00,280.85,light rain
355,2017-11-15 18:00:00,281.45,light intensity drizzle
356,2017-11-15 19:00:00,281.84,light intensity drizzle
357,2017-11-15 20:00:00,282.97,mist
